Altium Designer Pick and Place Locations
Z:\HoverGate-V2\Project Outputs for HoverGate-V2\Pick Place\Pick Place for HoverGate-V2-pcb.csv

========================================================================================================================
File Design Information:

Date:       25/03/24
Time:       12:44
Revision:   6ec4b2ca72cf584d5e9f6024e07bab619c29fcd8
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R36","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","2.1000","-28.6000","90",""
"R35","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-0.7000","-30.0000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R34","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-0.7000","-26.9000","90","RES SMD 47K OHM 1% 1/10W 0603"
"C38","AC0603KRX7R0BB473","TopLayer","FP-AC0603-IPC_B","32.4000","-28.4000","0","CAP CER 0.047UF 100V X7R 0603"
"J5","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","19.9000","-14.0150","90",""
"J4","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","17.2000","-14.0850","270",""
"J3","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","-3.1000","-13.0250","270",""
"J2","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","-2.2000","-17.8850","270",""
"J1","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","-2.2000","-22.9250","270",""
"R33","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","17.2000","-13.6000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R32","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","19.7000","-13.6000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R31","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","21.0000","-13.6000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R30","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","18.5000","-13.6000","90","RES SMD 47K OHM 1% 1/10W 0603"
"D13","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","17.9000","-15.9000","180","TVS DIODE 15V 1005"
"D12","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","20.4000","-15.9000","180","TVS DIODE 15V 1005"
"R29","0603WAF1001T5E","TopLayer","RESC1608X55X30NL15T15","21.5000","-19.5000","0",""
"R28","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","21.5000","-21.7000","0",""
"D11","KT-0805Y","TopLayer","LED_0805","18.4000","-19.5000","0","LED Yellow KT-0805Y"
"D10","KT-0805G","TopLayer","LED_0805","18.4000","-21.7000","0","KT-0805G LED Green"
"CN3","CP2102 USB-A-to-UART adapter connector","TopLayer","CP2102_USB-A-to-UART_adapter_connector","18.5300","-24.3000","90",""
"R27","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-24.0000","-51.0000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R26","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-26.5000","-51.0000","90","RES SMD 47K OHM 1% 1/10W 0603"
"R25","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-29.0000","-51.0000","90","RES SMD 47K OHM 1% 1/10W 0603"
"TP28","test point 1.5mm","TopLayer","TP1_FULL","-24.0000","-46.5000","90","Test point ,1.5mm diameter, no hole"
"TP27","test point 1.5mm","TopLayer","TP1_FULL","-26.5000","-46.5000","90","Test point ,1.5mm diameter, no hole"
"TP26","test point 1.5mm","TopLayer","TP1_FULL","-29.0000","-46.5000","90","Test point ,1.5mm diameter, no hole"
"TP25","test point 1.5mm","TopLayer","TP1_FULL","-25.2500","-45.2500","90","Test point ,1.5mm diameter, no hole"
"TP24","test point 1.5mm","TopLayer","TP1_FULL","-27.7500","-45.2500","90","Test point ,1.5mm diameter, no hole"
"TP23","test point 1.5mm","TopLayer","TP1_FULL","-30.2500","-45.2500","90","Test point ,1.5mm diameter, no hole"
"F1","0458005.DR","TopLayer","FP-0469-IPC_B","-31.9000","-8.7000","0","FUSE BOARD MOUNT 5A 75VDC 1206"
"R24","DNP","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-37.3750","0","RES SMD 47K OHM 1% 1/10W 0603"
"R23","0603WAF0000T5E","TopLayer","FPR_0603_R_R0","-33.7000","-28.1500","270","0R resistor"
"R22","0603WAF0000T5E","TopLayer","FPR_0603_R_R0","-23.4750","-28.2250","270","0R resistor"
"R21","0603WAF0000T5E","TopLayer","FPR_0603_R_R0","-13.3500","-28.2500","270","0R resistor"
"BRD1","HCS-301-rolling-code-rx","TopLayer","HC301-module","-33.3000","-41.3500","90",""
"TP20","test point 1.5mm","BottomLayer","TP1_FULL","-24.8100","-23.0900","90","Test point ,1.5mm diameter, no hole"
"TP19","test point 1.5mm","BottomLayer","TP1_FULL","-21.0000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP18","test point 1.5mm","BottomLayer","TP1_FULL","-24.5750","-15.6750","90","Test point ,1.5mm diameter, no hole"
"TP17","test point 1.5mm","TopLayer","TP1_FULL","32.4000","-37.5000","90","Test point ,1.5mm diameter, no hole"
"TP16","test point 1.5mm","BottomLayer","TP1_FULL","-14.6000","-23.1000","90","Test point ,1.5mm diameter, no hole"
"TP15","test point 1.5mm","BottomLayer","TP1_FULL","-17.1000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP14","test point 1.5mm","TopLayer","TP1_FULL","3.2000","-23.5000","90","Test point ,1.5mm diameter, no hole"
"TP13","test point 1.5mm","BottomLayer","TP1_FULL","-14.3250","-15.6750","90","Test point ,1.5mm diameter, no hole"
"TP12","test point 1.5mm","BottomLayer","TP1_FULL","12.6000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP11","test point 1.5mm","TopLayer","TP1_FULL","-17.3000","-47.5000","90","Test point ,1.5mm diameter, no hole"
"TP10","test point 1.5mm","BottomLayer","TP1_FULL","6.6750","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP9","test point 1.5mm","TopLayer","TP1_FULL","32.5000","-19.3000","90","Test point ,1.5mm diameter, no hole"
"TP8","test point 1.5mm","BottomLayer","TP1_FULL","-4.4000","-23.1000","90","Test point ,1.5mm diameter, no hole"
"TP7","test point 1.5mm","BottomLayer","TP1_FULL","-13.3000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP6","test point 1.5mm","TopLayer","TP1_FULL","-9.3000","-51.7000","90","Test point ,1.5mm diameter, no hole"
"TP5","test point 1.5mm","TopLayer","TP1_FULL","-28.1250","-34.9000","90","Test point ,1.5mm diameter, no hole"
"TP4","test point 1.5mm","BottomLayer","TP1_FULL","-4.1750","-15.6750","90","Test point ,1.5mm diameter, no hole"
"TP3","test point 1.5mm","TopLayer","TP1_FULL","-30.6000","-38.1000","90","Test point ,1.5mm diameter, no hole"
"TP2","test point 1.5mm","BottomLayer","TP1_FULL","-23.9125","-36.1625","90","Test point ,1.5mm diameter, no hole"
"TP1","test point 1.5mm","TopLayer","TP1_FULL","22.9000","-8.5000","0","Test point ,1.5mm diameter, no hole"
"U4","ESP32-S3-WROOM-1-N8R2","TopLayer","XCVR_ESP32-S3-WROOM-1-N8R2","19.1000","-37.9400","180","WiFi 802.11a/b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included -"
"U1","DRV8323RHRGZT","TopLayer","FP-RGZ0048A-IPC_A","-19.0000","-36.8000","180","IC MTR DRV MULTIPHAS 6-60V 48QFN"
"SW2","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","32.9000","-33.8000","0","XKB TS-1187A-B-A-B C318884"
"SW1","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","32.5000","-22.8000","180","XKB TS-1187A-B-A-B C318884"
"R20","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-14.4000","180",""
"R19","0603WAF8200T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-11.3000","0",""
"R18","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","14.0000","-17.3000","180","RES SMD 47K OHM 1% 1/10W 0603"
"R17","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","14.0000","-18.6000","0",""
"R16","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-19.0000","180",""
"R15","0603WAF8200T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-15.9000","0",""
"R14","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-28.7000","-27.0000","0","2512 3mohm shunt"
"R13","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-23.6000","180",""
"R12","0603WAF8200T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-20.5000","0",""
"R11","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","33.4500","-40.6500","0",""
"R10","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-18.5000","-27.0000","0","2512 3mohm shunt"
"R6","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-8.3000","-26.9890","0","2512 3mohm shunt"
"R5","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-34.9000","0","RES SMD 47K OHM 1% 1/10W 0603"
"R4","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-36.2750","0","RES SMD 47K OHM 1% 1/10W 0603"
"R3","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","25.6000","-15.4750","90",""
"R2","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","24.1750","-15.4750","90",""
"R1","DNP","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-38.4750","0","RES SMD 47K OHM 1% 1/10W 0603"
"Q8","BM3402","TopLayer","FP-SOT23-IPC_B","14.0000","-14.5000","90","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23"
"Q7","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-26.7000","-20.8890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q6","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-26.7000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q5","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-16.5000","-20.8890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q4","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","6.2110","-19.8000","0","100V 95A 4.6mOhm N-channel mosfet"
"Q3","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-16.5000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q2","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-6.3000","-20.8780","90","100V 95A 4.6mOhm N-channel mosfet"
"Q1","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-6.3000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"L1","CYA0630-10UH","TopLayer","CYA0630-10UH","-12.0000","-47.4000","0","SMD Power inductio, 10uH 4A"
"D9","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-12.8500","180","TVS DIODE 15V 1005"
"D8","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-17.4500","180","TVS DIODE 15V 1005"
"D7","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-22.0500","180","TVS DIODE 15V 1005"
"D6","B1100-13-F","TopLayer","DIOD-SMA-2_V","-19.0000","-44.8000","0","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D5","SK1010C","TopLayer","FP-SMC-MFG","6.2000","-13.7000","0","DIODE SCHOTTKY 100V 10A SMC"
"D4","B1100-13-F","TopLayer","DIOD-SMA-2_V","-1.7000","-36.9500","270","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D3","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","21.2000","-9.0036","90","TVS DIODE 15V 1005"
"D2","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","24.6750","-9.6250","270","TVS DIODE 15V 1005"
"D1","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","24.6750","-11.8750","90","TVS DIODE 15V 1005"
"CN2","MAX MX15EDGVM-3.81-16P-GN01-Cu-A","TopLayer","MAX_MX15EDGVM-3.81-16P-GN01-Cu-A","0.0000","0.0000","0","Board connector for 16 pin pluggable screw terminal"
"CN1","XKB U262-161N-4BVC11","TopLayer","XKB_U262-161N-4BVC11","32.8300","-10.3900","90","USB Type-C connector, USB-2.0, 16 pins"
"C32","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","31.0500","-44.7750","90","CAP CER 1UF 50V X5R 0603"
"C31","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","33.3750","-43.9000","90","Cap Ceramic 22uF 10V X5R ±10% SMD 1206"
"C30","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","31.0500","-41.5000","270","CAP CER 1UF 50V X5R 0603"
"C29","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","7.1000","-28.8000","0","CAP CER 1UF 50V X5R 0603"
"C28","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-50.1000","0","CAP CER 1UF 50V X5R 0603"
"C27","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-48.3000","0","CAP CER 1UF 50V X5R 0603"
"C26","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-46.5000","0","CAP CER 1UF 50V X5R 0603"
"C25","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-42.9000","180","CAP CER 1UF 50V X5R 0603"
"C24","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-44.7000","0","CAP CER 1UF 50V X5R 0603"
"C23","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-17.4270","-42.2000","0","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C22","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","2.9000","-43.6000","180","CAP CER 1UF 50V X5R 0603"
"C21","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-0.9000","-43.6000","0","CAP CER 1UF 50V X5R 0603"
"C20","AC0603KRX7R0BB473","TopLayer","FP-AC0603-IPC_B","-12.8000","-38.5000","270","CAP CER 0.047UF 100V X7R 0603"
"C19","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-10.9000","-35.6000","270","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C18","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-8.5000","-36.4000","270","CAP CER 10UF 63V X7R 1210"
"C13","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-12.8000","-35.4000","90","CAP CER 1UF 50V X5R 0603"
"C12","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-25.8000","-33.1000","180","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C7","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-11.5000","-41.6000","45","CAP CER 1UF 50V X5R 0603"
"C6","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-13.9000","-41.6000","45","CAP CER 1UF 50V X5R 0603"
"C1","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-25.2270","-40.5000","180","CAP CER 1UF 50V X5R 0603"
